# Time-averaged data for fix rdf_OH_save
# TimeStep Number-of-rows
# Row c_rdf_OH_bond[1] c_rdf_OH_bond[2] c_rdf_OH_bond[3]
44000 100
3 0.05 0 0
4 0.07 0 0
5 0.09 0 0
6 0.11 0 0
7 0.13 0 0
8 0.15 0 0
9 0.17 0 0
10 0.19 0 0
11 0.21 0 0
12 0.23 0 0
13 0.25 0 0
14 0.27 0 0
15 0.29 0 0
16 0.31 0 0
17 0.33 0 0
18 0.35 0 0
19 0.37 0 0
20 0.39 0 0
21 0.41 0 0
22 0.43 0 0
23 0.45 0 0
24 0.47 0 0
25 0.49 0 0
26 0.51 0 0
27 0.53 0 0
28 0.55 0 0
29 0.57 0 0
30 0.59 0 0
31 0.61 0 0
32 0.63 0 0
33 0.65 0 0
34 0.67 0 0
35 0.69 0 0
36 0.71 0 0
37 0.73 0 0
38 0.75 0 0
39 0.77 0 0
40 0.79 0.122483 9.90099e-05
41 0.81 0.522655 0.000544554
42 0.83 0.718831 0.00118812
43 0.85 3.48309 0.00445545
44 0.87 3.0225 0.00742574
45 0.89 1.30084 0.00876238
46 0.91 9.48243 0.0189604
47 0.93 5.55325 0.025198
48 0.95 5.23889 0.0313366
49 0.97 6.44027 0.0392079
50 0.99 7.03987 0.0481683
51 1.01 4.85769 0.054604
52 1.03 2.37096 0.0578713
53 1.05 2.0398 0.0607921
54 1.07 1.79748 0.0634653
55 1.09 1.37791 0.0655941
56 1.11 2.0111 0.0688119
57 1.13 1.34386 0.0710396
58 1.15 1.41145 0.0734653
59 1.17 1.78291 0.0766337
60 1.19 0.969452 0.0784158
61 1.21 1.35419 0.0809901
62 1.23 1.05811 0.0830693
63 1.25 0.902654 0.084901
64 1.27 1.10965 0.0872277
65 1.29 0.824361 0.0890099
66 1.31 0.711029 0.0905941
67 1.33 1.31457 0.0936139
68 1.35 2.63508 0.0998515
69 1.37 1.74668 0.104109
70 1.39 1.61792 0.108168
71 1.41 1.57206 0.112228
72 1.43 1.23198 0.115495
73 1.45 2.62926 0.122673
74 1.47 2.09917 0.128564
75 1.49 2.14635 0.134752
76 1.51 2.24031 0.141386
77 1.53 1.48108 0.145891
78 1.55 1.1737 0.149554
79 1.57 1.2524 0.153564
80 1.59 2.75919 0.162624
81 1.61 3.19088 0.173366
82 1.63 2.84152 0.183168
83 1.65 2.464 0.191881
84 1.67 3.11666 0.203168
85 1.69 4.35154 0.219307
86 1.71 2.08642 0.227228
87 1.73 1.89809 0.234604
88 1.75 3.85899 0.24995
89 1.77 3.04156 0.262327
90 1.79 2.99744 0.274802
91 1.81 2.87305 0.28703
92 1.83 2.49304 0.297871
93 1.85 1.77128 0.305743
94 1.87 0.937728 0.31
95 1.89 1.11023 0.315149
96 1.91 1.05504 0.320149
97 1.93 1.48394 0.327327
98 1.95 1.69445 0.335693
99 1.97 1.80749 0.344802
100 1.99 1.32879 0.351634
44800 100
1 0.01 0 0
2 0.03 0 0
3 0.05 0 0
4 0.07 0 0
5 0.09 0 0
6 0.11 0 0
7 0.13 0 0
8 0.15 0 0
9 0.17 0 0
10 0.19 0 0
11 0.21 0 0
12 0.23 0 0
13 0.25 0 0
14 0.27 0 0
15 0.29 0 0
16 0.31 0 0
17 0.33 0 0
18 0.35 0 0
19 0.37 0 0
20 0.39 0 0
