# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_HAP c_msd_CO2
43900 4
2 0.0302533 4.31068e-05
3 5.78706 287.099
4 5.85531 287.112
59800 4
1 0.0384831 0.012945
2 0.0306356 4.36515e-05
3 5.83363 270.686
4 5.90274 270.699
59900 4
1 0.0389662 0.0131076
2 0.0310203 4.41997e-05
3 5.84277 262.432
4 5.91275 262.445
60000 4
1 0.0394523 0.0132712
2 0.0314074 4.47513e-05
3 5.88373 265.388
4 5.95459 265.401
60100 4
1 0.0399414 0.0134358
2 0.0317969 4.53064e-05
3 5.89055 279.894
4 5.96229 279.908
60200 4
1 0.0404335 0.0136014
2 0.0321888 4.58648e-05
3 5.86469 290.657
4 5.93731 290.671
60300 4
1 0.0409286 0.013768
2 0.0325831 4.64267e-05
3 5.87702 288.272
4 5.95053 288.286
60400 4
1 0.0414268 0.0139356
2 0.0329798 4.6992e-05
3 5.86097 275.493
4 5.93538 275.507
60500 4
1 0.0419279 0.0141043
2 0.0333788 4.75607e-05
3 5.8748 262.342
4 5.95011 262.356
60600 4
1 0.0424321 0.014274
2 0.0337802 4.81329e-05
3 5.88189 263.079
4 5.9581 263.094
60700 4
1 0.0429392 0.0144447
2 0.0341839 4.87084e-05
3 5.90776 275.839
4 5.98488 275.854
60800 4
1 0.0434494 0.0146164
2 0.03459 4.92874e-05
3 5.92584 272.987
4 6.00388 273.002
60900 4
1 0.0439625 0.0147891
2 0.0349984 4.98698e-05
3 5.95272 276.773
4 6.03168 276.788
61000 4
1 0.0444787 0.0149628
2 0.0354092 5.04556e-05
3 5.92199 295.297
4 6.00188 295.312
61100 4
1 0.0449979 0.0151375
2 0.0358224 5.10448e-05
3 5.93619 289.21
4 6.01701 289.225
61200 4
1 0.0455201 0.0153133
2 0.0362379 5.16375e-05
3 5.92168 278.223
4 6.00344 278.239
61300 4
1 0.0460453 0.0154901
2 0.0366559 5.22336e-05
3 5.93926 263.418
4 6.02196 263.433
61400 4
1 0.0465735 0.0156678
2 0.0370762 5.28331e-05
3 5.95058 262.793
4 6.03423 262.809
61500 4
1 0.0471047 0.0158466
2 0.0374989 5.3436e-05
3 5.96304 264.131
4 6.04764 264.147
61600 4
1 0.047639 0.0160265
2 0.037924 5.40424e-05
3 6.01133 259.373
4 6.09689 259.389
61700 4
1 0.0481762 0.0162073
2 0.0383516 5.46521e-05
3 6.01058 267.888
4 6.09711 267.905
61800 4
1 0.0487165 0.0163891
2 0.0387815 5.52653e-05
3 5.99783 277.346
4 6.08533 277.362
61900 4
1 0.0492598 0.016572
2 0.0392138 5.58819e-05
3 6.01664 281.928
4 6.10512 281.945
62000 4
1 0.0498061 0.0167559
2 0.0396485 5.65019e-05
3 6.02573 293.853
4 6.11519 293.87
62100 4
1 0.0503554 0.0169407
2 0.0400856 5.71254e-05
3 6.00984 282.386
4 6.10028 282.403
62200 4
1 0.0509077 0.0171266
2 0.0405252 5.77523e-05
3 6.01607 277.196
4 6.1075 277.213
62300 4
1 0.0514631 0.0173136
2 0.0409671 5.83826e-05
3 6.02707 267.559
