# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  22700      1.69e+00    1.65e+00      1.75e-02    8.92e-03      1.46e-01    1.44e-01    1.3e-04
  22800      1.93e+00    1.71e+00      1.82e-02    1.21e-02      1.67e-01    1.49e-01    1.3e-04
  22900      3.29e+00    1.64e+00      9.06e-03    8.46e-03      2.88e-01    1.43e-01    1.3e-04
  23000      1.90e+00    1.69e+00      2.82e-02    2.32e-02      1.60e-01    1.44e-01    1.3e-04
  23100      2.99e+00    1.54e+00      2.80e-03    4.28e-03      2.63e-01    1.36e-01    1.3e-04
  23200      1.84e+00    1.71e+00      1.46e-02    8.36e-03      1.60e-01    1.49e-01    1.3e-04
  23300      3.17e+00    2.02e+00      3.75e-03    9.47e-04      2.79e-01    1.78e-01    1.3e-04
  23400      1.75e+00    1.60e+00      2.82e-03    9.25e-03      1.54e-01    1.40e-01    1.3e-04
  23500      1.84e+00    2.07e+00      1.14e-02    1.22e-02      1.60e-01    1.81e-01    1.3e-04
  23600      1.56e+00    1.60e+00      2.54e-03    1.92e-03      1.37e-01    1.40e-01    1.3e-04
  23700      3.61e+00    2.05e+00      2.60e-02    1.71e-03      3.13e-01    1.80e-01    1.3e-04
  23800      1.67e+00    2.07e+00      4.54e-03    6.06e-04      1.46e-01    1.82e-01    1.3e-04
  23900      1.64e+00    1.68e+00      6.60e-03    1.11e-02      1.44e-01    1.46e-01    1.3e-04
  24000      1.68e+00    1.68e+00      9.97e-03    2.12e-02      1.47e-01    1.44e-01    1.3e-04
  24100      2.85e+00    1.68e+00      3.78e-03    5.12e-03      2.51e-01    1.47e-01    1.3e-04
  24200      1.70e+00    1.56e+00      9.88e-03    9.38e-03      1.49e-01    1.37e-01    1.3e-04
  24300      1.80e+00    3.74e+00      3.71e-03    7.19e-03      1.58e-01    3.28e-01    1.3e-04
  24400      2.71e+00    3.01e+00      4.66e-04    1.17e-02      2.38e-01    2.64e-01    1.3e-04
  24500      3.28e+00    3.13e+00      2.01e-03    1.37e-02      2.89e-01    2.74e-01    1.3e-04
  24600      2.94e+00    5.53e+00      2.59e-02    5.51e-03      2.54e-01    4.86e-01    1.3e-04
  24700      2.08e+00    4.50e+00      2.64e-03    2.18e-03      1.83e-01    3.96e-01    1.3e-04
  24800      2.65e+00    1.64e+00      1.24e-02    1.34e-02      2.32e-01    1.43e-01    1.3e-04
  24900      2.43e+00    1.57e+00      7.73e-03    5.92e-03      2.13e-01    1.37e-01    1.3e-04
  25000      1.83e+00    1.67e+00      1.63e-02    1.35e-02      1.59e-01    1.45e-01    1.3e-04
  25100      2.01e+00    1.26e+00      4.53e-03    3.29e-03      2.28e-01    1.42e-01    7.7e-05
  25200      1.23e+00    1.26e+00      4.28e-03    3.60e-03      1.39e-01    1.43e-01    7.7e-05
  25300      1.32e+00    1.25e+00      6.59e-04    4.10e-03      1.49e-01    1.41e-01    7.7e-05
  25400      2.04e+00    3.62e+00      5.32e-03    5.47e-03      2.30e-01    4.11e-01    7.7e-05
  25500      1.63e+00    1.19e+00      3.06e-03    1.86e-03      1.85e-01    1.35e-01    7.7e-05
